match,match_weight,repo_url,repo_full_name,repo_id
GHSA-5CM9-6P3M-V259,0.00020350,https://github.com/adfoster-r7/metasploit-framework-test-actions,adfoster-r7/metasploit-framework-test-actions,465004247
GHSA-5CM9-6P3M-V259,0.00020280,https://github.com/zhangdapeng520/zdpruby_metasploit,zhangdapeng520/zdpruby_metasploit,469605197
GHSA-5CM9-6P3M-V259,0.00020198,https://github.com/sumon296/metasploit-framework-gui,sumon296/metasploit-framework-gui,514359515
GHSA-5CM9-6P3M-V259,0.00020198,https://github.com/webcindy/metasploit,webcindy/metasploit,496424010
GHSA-5CM9-6P3M-V259,0.00020165,https://github.com/sumon296/Metasploit-Framework,sumon296/Metasploit-Framework,514342337
GHSA-5CM9-6P3M-V259,0.00020149,https://github.com/De30/metasploit-framework,De30/metasploit-framework,520891420
GHSA-5CM9-6P3M-V259,0.00020125,https://github.com/ParrotSec/metasploit-framework,ParrotSec/metasploit-framework,71667487
GHSA-5CM9-6P3M-V259,0.00020044,https://github.com/rapid7/metasploit-framework,rapid7/metasploit-framework,2293158
GHSA-5CM9-6P3M-V259,0.00001521,https://github.com/trickest/cve,trickest/cve,454015416
GHSA-5CM9-6P3M-V259,0.00000448,https://github.com/gmatuz/inthewilddb,gmatuz/inthewilddb,404367677
