full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
offensive-security/exploitdb,The official Exploit Database repository,https://github.com/offensive-security/exploitdb,['exploit'],1,2022-03-31T05:10:21+0000,238375,7003,C,1895,[]
bgibers/dice-game-exploit,A contract that exploits a simple dice game for profit,https://github.com/bgibers/dice-game-exploit,['exploit'],1,2022-03-31T02:42:02+0000,25878,0,CSS,0,[]
lumalav/CAP6135_FinalProject,Log4Shell Vulnerability - Exploitation and Mitigation,https://github.com/lumalav/CAP6135_FinalProject,['exploit'],1,2022-03-31T02:11:04+0000,9478,0,Java,0,[]
tweedge/springcore-0day-en,"Everything I needed to understand what was going on with ""Spring4Shell"" - translated source materials, exploit, links to demo apps, and more.",https://github.com/tweedge/springcore-0day-en,"['0day', 'exploit']",2,2022-03-31T02:08:32+0000,2165,11,Python,4,[]
blindpirate/spring-rce-2022-03-hotfix,None,https://github.com/blindpirate/spring-rce-2022-03-hotfix,['rce'],1,2022-03-31T03:22:35+0000,0,0,Kotlin,0,[]
DylanMarriott/PoC-Spring4Shell-RCE,None,https://github.com/DylanMarriott/PoC-Spring4Shell-RCE,"['rce', 'rce poc']",2,2022-03-31T00:38:27+0000,35574,1,Java,0,[]
ckkok/spring4shell-poc,None,https://github.com/ckkok/spring4shell-poc,"['rce', 'rce poc']",2,2022-03-31T00:58:56+0000,256,0,Python,4,[]
mttaggart/rustyneedle,A Rust-based dropper for shellcode payloads.,https://github.com/mttaggart/rustyneedle,['shellcode'],1,2022-03-31T01:37:48+0000,1,2,Rust,0,[]
SealPaPaPa/SeeyonExploitNote,some research note for seeyon,https://github.com/SealPaPaPa/SeeyonExploitNote,['exploit'],1,2022-03-31T00:05:47+0000,0,0,Java,0,[]
ChinaRan0/SpringCoreRCE-EXP-getshell,None,https://github.com/ChinaRan0/SpringCoreRCE-EXP-getshell,['rce'],1,2022-03-31T00:33:07+0000,1,2,Python,2,[]
Maladra/Shellcode-Generator-Python,None,https://github.com/Maladra/Shellcode-Generator-Python,['shellcode'],1,2022-03-31T00:44:22+0000,3,0,Python,0,[]
StevenYosif/Silent-Doc-Exploit-2022,Best Silent Word/Doc Exploit 2022,https://github.com/StevenYosif/Silent-Doc-Exploit-2022,['exploit'],1,2022-03-31T01:27:43+0000,0,0,,0,[]
StevenYosif/Silent-Excel-Exploit-2022,"Best Silent Exploits, Generate .xll,  .xls FUD Exploit",https://github.com/StevenYosif/Silent-Excel-Exploit-2022,['exploit'],1,2022-03-31T01:28:28+0000,0,0,,0,[]
StevenYosif/SilentDocExploit,None,https://github.com/StevenYosif/SilentDocExploit,['exploit'],1,2022-03-31T01:29:16+0000,0,0,,0,[]
StevenYosif/SilentDocExploit-Builder,None,https://github.com/StevenYosif/SilentDocExploit-Builder,['exploit'],1,2022-03-31T01:29:42+0000,0,0,,0,[]
StevenYosif/Silent-Excel-Exploit-Builder,None,https://github.com/StevenYosif/Silent-Excel-Exploit-Builder,['exploit'],1,2022-03-31T01:30:22+0000,0,0,,0,[]
zjx/spring-rce,None,https://github.com/zjx/spring-rce,['rce'],1,2022-03-31T01:35:21+0000,0,0,,0,[]
DoTuan1/Reserch-CVE-2021-41773,nan,https://github.com/DoTuan1/Reserch-CVE-2021-41773,['cve-2 OR cve_2'],1,2022-03-31T01:54:42+0000,0,0,Python,0,['CVE-2021-41773']
light-Life/spring-core-rce,单个利用工具（只有文档）,https://github.com/light-Life/spring-core-rce,['rce'],1,2022-03-31T02:13:44+0000,0,0,,0,[]
ex0dus-0x/actions-rce-poc,PoC,https://github.com/ex0dus-0x/actions-rce-poc,"['rce', 'rce poc']",2,2022-03-31T02:15:48+0000,0,0,,0,[]
rabbitsafe/Spring-Core-rce,Spring Core 命令执行 文件写入,https://github.com/rabbitsafe/Spring-Core-rce,['rce'],1,2022-03-31T02:34:57+0000,0,0,Python,0,[]
Nefcore/CRLFsuite,Fast CRLF scanning and exploitation tool,https://github.com/Nefcore/CRLFsuite,['exploit'],1,2022-03-31T02:48:02+0000,0,0,Python,0,[]
9xN/SpringCore-0day,None,https://github.com/9xN/SpringCore-0day,['0day'],1,2022-03-31T02:57:15+0000,0,1,Python,1,[]
WillanHurtadoDev-Pent/Spring4Shell,Java RCE 0-day  latest vulnerabilities in spring,https://github.com/WillanHurtadoDev-Pent/Spring4Shell,['rce'],1,2022-03-31T03:40:45+0000,0,0,,0,[]
liudonghua123/spring-core-rce,None,https://github.com/liudonghua123/spring-core-rce,['rce'],1,2022-03-31T03:41:44+0000,0,0,,0,[]
JuiceWarfare/Exploit,None,https://github.com/JuiceWarfare/Exploit,['exploit'],1,2022-03-31T05:55:49+0000,0,0,Lua,0,[]
netwrkspider/PoC-Vault,This repo is mainly for Zero Day Vulnerablities.,https://github.com/netwrkspider/PoC-Vault,['vulnerability poc'],1,2022-03-31T06:21:52+0000,0,0,YARA,0,[]
Satheesh575555/System_bt_AOSP10-r33_CVE-2020-0449,nan,https://github.com/Satheesh575555/System_bt_AOSP10-r33_CVE-2020-0449,['cve-2 OR cve_2'],1,2022-03-31T06:41:58+0000,0,0,C++,0,['CVE-2020-0449']
Trinadh465/frameworks_native_CVE-2020-0226,nan,https://github.com/Trinadh465/frameworks_native_CVE-2020-0226,['cve-2 OR cve_2'],1,2022-03-31T06:47:03+0000,0,0,C++,0,['CVE-2020-0226']
nanopathi/system_bt_AOSP10_r33_CVE-2020-0463,nan,https://github.com/nanopathi/system_bt_AOSP10_r33_CVE-2020-0463,['cve-2 OR cve_2'],1,2022-03-31T07:07:36+0000,0,0,C++,0,['CVE-2020-0463']
nanopathi/system_core_AOSP10_r33_CVE-2020-0421,nan,https://github.com/nanopathi/system_core_AOSP10_r33_CVE-2020-0421,['cve-2 OR cve_2'],1,2022-03-31T07:42:59+0000,0,0,,0,['CVE-2020-0421']
FrodoMenezes/picoCTF2022-web-exploitation,picoCTF 2022 web exploitation solutions,https://github.com/FrodoMenezes/picoCTF2022-web-exploitation,['exploit'],1,2022-03-31T01:20:55+0000,1005,0,,1,[]
k0zulzr/CVE-2022-24086-RCE,nan,https://github.com/k0zulzr/CVE-2022-24086-RCE,"['cve-2 OR cve_2', 'rce']",2,2022-03-31T01:16:54+0000,1,2,,2,['CVE-2022-24086']
commixproject/commix,Automated All-in-One OS Command Injection Exploitation Tool.,https://github.com/commixproject/commix,"['command injection', 'exploit']",2,2022-03-31T05:31:22+0000,6015,3177,Python,689,[]
Plextora/neoblox,"A level 7 keyless Lua executor for Roblox. Free, forever!",https://github.com/Plextora/neoblox,['exploit'],1,2022-03-31T00:38:05+0000,17928,2,C#,0,[]
hahwul/mad-metasploit,"Metasploit custom modules, plugins, resource script and.. awesome metasploit collection",https://github.com/hahwul/mad-metasploit,['metasploit module OR payload'],1,2022-03-31T00:21:17+0000,265067,296,Ruby,85,[]
JoyChou93/java-sec-code,Java web common vulnerabilities and security code which is base on springboot and spring security,https://github.com/JoyChou93/java-sec-code,['rce'],1,2022-03-31T07:43:45+0000,413,1463,Java,388,[]
dcs4cop/xcube,"xcube is a Python package for generating and exploiting data cubes powered by xarray, dask, and zarr.",https://github.com/dcs4cop/xcube,['exploit'],1,2022-03-31T07:04:40+0000,298961,98,Python,15,[]
epony4c/Exploit-Dictionary,None,https://github.com/epony4c/Exploit-Dictionary,['exploit'],1,2022-03-31T06:57:41+0000,21590,268,,115,[]
drb-ra/C2IntelFeeds,Automatically created C2 Feeds,https://github.com/drb-ra/C2IntelFeeds,['metasploit module OR payload'],1,2022-03-31T02:30:37+0000,282746,141,REXX,12,[]
nomi-sec/NVD-Exploit-List-Ja,🔍NVD exploit & JVN(Japan Vulnerability Notes) easy description,https://github.com/nomi-sec/NVD-Exploit-List-Ja,['exploit'],1,2022-03-31T00:47:12+0000,10618,34,,19,[]
jm33-m0/emp3r0r,Linux post-exploitation framework made by linux user,https://github.com/jm33-m0/emp3r0r,['exploit'],1,2022-03-31T07:02:55+0000,91058,709,Go,156,[]
Patrowl/PatrowlHearsData,"Open-Source Vulnerability Intelligence Center - Unified source of vulnerability, exploit and threat Intelligence feeds",https://github.com/Patrowl/PatrowlHearsData,['exploit'],1,2022-03-31T00:04:23+0000,494167,47,,20,[]
lcvvvv/kscan,Kscan是一款纯go开发的轻量级的资产发现工具，可针对指定IP段、资产清单、存活网段自动化进行端口扫描以及TCP指纹识别和Banner抓取，在不发送更多的数据包的情况下尽可能的获取端口更多信息。并且能够针对扫描结果进行自动化暴力破解，且是go平台首款开源的RDP暴力破解工具。,https://github.com/lcvvvv/kscan,['exploit'],1,2022-03-31T08:34:07+0000,81365,808,Go,137,[]
