full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
meli0dasH4ck3r/cve-2024-25600,PoC for CVE-2024-25600,https://github.com/meli0dasH4ck3r/cve-2024-25600,['cve poc'],1,2025-04-04T17:41:10+0000,0,0,Python,0,['CVE-2024-25600']
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2025-04-03T08:55:50+0000,1099749,35227,Ruby,14235,[]
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2025-04-04T13:43:24+0000,24823,10138,JavaScript,2248,[]
rapid7/metasploit_data_models,"MSF database code, gemified",https://github.com/rapid7/metasploit_data_models,['metasploit module OR payload'],1,2025-04-01T20:37:13+0000,4580,52,Ruby,57,[]
buffer/thug,Python low-interaction honeyclient,https://github.com/buffer/thug,['shellcode'],1,2025-04-01T16:26:15+0000,46561,1006,Python,202,[]
Gallopsled/pwntools,CTF framework and exploit development library,https://github.com/Gallopsled/pwntools,"['exploit', 'shellcode']",2,2025-04-02T16:08:50+0000,28087,12479,Python,1743,[]
rapid7/metasploit-model,"Common code, such as validators and mixins, that are shared between ActiveModels in metasploit-framework and ActiveRecords in metasploit_data_models",https://github.com/rapid7/metasploit-model,['metasploit module OR payload'],1,2025-04-01T12:39:38+0000,2138,14,Ruby,21,[]
leebaird/discover,"Custom bash scripts used to automate various penetration testing tasks including recon, scanning,  enumeration, and malicious payload creation using Metasploit. For use with Kali Linux.",https://github.com/leebaird/discover,['metasploit module OR payload'],1,2025-04-02T21:17:08+0000,3527,3585,Shell,855,[]
electron/rcedit,Command line tool to edit resources of exe,https://github.com/electron/rcedit,['rce'],1,2025-04-01T06:11:13+0000,176,1824,C++,195,[]
electron/node-rcedit,Node module to edit resources of exe,https://github.com/electron/node-rcedit,['rce'],1,2025-04-01T13:15:27+0000,29453,193,JavaScript,36,[]
owenkerrisk/Remote-Code-Execution-Detection,None,https://github.com/owenkerrisk/Remote-Code-Execution-Detection,['remote code execution'],1,2025-04-04T11:46:42+0000,23,0,,0,[]
bjornhels/CVE-2025-30065,PoC,https://github.com/bjornhels/CVE-2025-30065,"['cve poc', 'cve-2 OR cve_2']",2,2025-04-04T12:25:19+0000,8,2,Java,0,['CVE-2025-30065']
sobri3195/PEGASUS---Unified-Web-Vulnerability-Toolkit,PEGASUS (Penetration & Exploitation Generator for Advanced Scanning of Unsecured Sites) is a powerful CLI-based web application penetration testing suite written in Python 3. It provides a comprehensive set of tools for identifying and exploiting common we,https://github.com/sobri3195/PEGASUS---Unified-Web-Vulnerability-Toolkit,['exploit'],1,2025-04-04T10:13:04+0000,12,0,Python,0,[]
